STUDY,TREATMENT,RESPONSE,CARDINAL,PERCENTAGE,SENTENCE,ISTABLE
33888066,Bradyrhizobium,dry weight,59.3,,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,Bradyrhizobium,dry weight,13.5,,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,Bradyrhizobium,dry weight,,34.8,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,AMF,dry weight,63.2,,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,AMF,dry weight,21.8,,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,AMF,dry weight,,41.0,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,combination,dry weight,,61.7,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,combination,dry weight,18.7,,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,combination,dry weight,38.7,,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,NPK,dry weight,,100,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,NPK,dry weight,,50,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
33888066,control,dry weight,2,,"The plant dry weight was improved with the application of Bradyrhizobium by 59.3, 13.5 and 34.8%; and with the application of AMF by 63.2, 21.8 and 41.0% and with their combination by 61.7, 18.7, 38.7% in both growing seasons as compared with control, 100% NPK and 50% NPK, respectively (Table 2).",0
