DOI,TREATMENT,INOCTYPE,RESPONSE,SOILTYPE,FIELDGREENHOUSE,LANDUSE,ECOTYPE,ECOREGION,LOCATION
10.3389/fmicb.2016.01089,,,,,,,,,
10.3389/fpls.2022.892826,,,,,,,,,
10.1038/s41598-019-50354-2,,,,,,,,,
,,,,,,,,,
10.3389/fpls.2016.00548,,,,,,,,,
10.1038/s41598-020-59180-3,,,,,,,,,
10.3390/ijms21217987,the microbiome; Published ; water regime levels; three; (well-watered; endophytic; non-autoclaved soil; RWC; identiﬁcation; soil inoculation control; drought; three mycorrhizal levels,Rhizophagus irregularis control; endophytic core microbiome; natural inoculation; autoclaved soil inoculation; Rhizophagus irregularis; autoclaved soil,the growth activity,,greenhouse,,Triticum; spelt common; Obornicka Str; Badenkrone’; aestivum; wheat; T. aestivum; vulgare; spelt; Badenstern; spelta; Zollernspelz’,,Poland
10.3389/fpls.2015.00786,,,,,,,,,
10.3390/jof9060677,low moderate; AMF; arsenic As; As; AMF compounds mosseae,Arbuscular mycorrhizal fungi (AMF); Funneliformis mosseae,,,pot experiment,contamination; heavy metals; toxicity,maize L.; Zea mays,,
,,,,,,,,,
,,,,,,,E. E-farnesol; Citrus is; aurantium; Citrus aurantium,,North East; Tunisia
10.1038/ncomms1046,,,,,,,,,
10.1038/s41598-018-29020-6,,,,,,,,,
10.1146/annurev-arplant-042110-103846,AM symbioses; the MP DP; symbiotic interfaces; an MP; AM; MP DP; AM fungal,arbuscular mycorrhizal (AM),mycorrhizal growth; plant growth; responses,,,agronomic evolutionary,,,New
10.3390/microorganisms7100403,inoculate; Published; PGPR,Ensifer; plant growth-promoting rhizobacteria,biomass; plant growth; plant yield; published,,,,Medicago sativa,,
10.3389/fpls.2019.01068,,,,,,,,,
10.3390/toxics11070582,University Faculty; medium; AMF caledonium; three; low; three microorganisms; Faculty Agriculture; Biochar; Phytoremediation; fungi mendocina; Agro-Grassland; single mixed inoculation; Cadmium-Contaminated Soil; cadmium-contaminated soil; high,Pseudomonas mendocina; arbuscular-mycorrhizal fungi; Funneliformis caledonium; University Suez Canal; Mohamed S. Sheteiwy; Agronomy; Ceratobasidium; University Mansoura Mansoura,,,,toxic; toxics Article; Remediation,Paspalum vaginatum; Pennisetum alopecuroides; Ismailia 41522; Canal,,Egypt; Agricultural University; Egypt Correspondence; China; Nanjing Nanjing Agricultural University
10.5194/se-5-939-2014,biochar; soil amendment; biochar rate; The biochar; The biochar applied; Soil water,,yield; Published; rice yields; rice yield,Undisturbed soil; sandy loam,,,rice; eucalyptus,,a loam Dystric Plinthosol
10.1007/s00248-016-0779-8,three; ambient temperatures; No mycorrhizae,Sphingobacteriales,early growth; stable growth,hot desert soils,,,Western Himalayas; Mount Shukule; temperate subnival,,Ladakh India
10.3389/fmicb.2017.00719,,,,,,,,,
,streams lakes; AL PETER ET M. VITOUSEK; Prepayment; Durham 9Department; the acidiﬁcation; on scientiﬁc consensus; control,Biological Sciences University 6Department; N. Agriculture combustion activities; University Durham Duke; University Cornell Ithaca; University Cornell; Sciences Stanford Stanford University; Biological Sciences University Edmonton 8Department,dynamics The growth those,,greenhouse,estuaries; cycle agriculture; agricultural; coastal,"W. DAVID SCHINDLER,7 WILLIAM; many terrestrial freshwater ecosystems; nearshore ecosystems; Alberta; America",terrestrial; terrestrial ecosystems,New York; USA; Alberta Canada; North Carolina; G Edmonton; Mary Flagler Cary Arboretum Millbrook; Washington D.C.; University; University Durham 4Section; New Hampshire
10.3389/fpls.2013.00426,,,,,,,,,
,N addition; xingf522@126.com; levels; denaturing,  gradient gel electrophoresis,,,,,Leymus chinensis; kg ha-1 yr-1; ha-1 yr-1; grasslands properties; Artemisia scoparia,,
10.3390/jof9040479,AMF; Mo molybdenum (Mo); AMF etunicatum; high Mo; inoculation; Mo; Safety; Luoyang Symbiotic Microorganism Development; Cu; Mo addition; Inoculation; Mo stress,"Claroideoglomus etunicatum; AMF inoculation; AMF Inoculation; 1,2,3; Claroideoglomus etunicatum intraradices; arbuscular mycorrhizal fungi (AMF); Rhizophagus intraradices; Engineering; University Qingdao; etunicatum Rhizophagus intraradices; Henan University Luoyang",the biomass; growth,Molybdenum,pot culture,heavy metals,University Engineering Safety; Maize; maize,,China; Shichuan; Agriculture
10.3390/ijerph15010024,Cr uptake; Cr; Cr Cu; the Cr contents average Cu Zn; halloysite treatment; Published Abstract,,The greatest average above-ground biomass,,,contaminated; Cr contamination; soil pollution,Brassica juncea; Indian mustard,,
,,,,,,,,,
10.3389/fpls.2015.00786,,,,,,,,,
10.1007/s00425-011-1568-8,strigolactones (SLs) SLs; N starvation; SL; N deﬁciency,arbuscular mycorrhizal fungi,,,,,lettuce; alfalfa; Fabaceae Asteraceae marigold plants; alfalfa Chinese milk milk vetch; Chinese milk vetch; Fabaceae alfalfa vetch; leguminous plant; Poaceae wheat; plant Chinese milk milk vetch plants; Fabaceae Asteraceae; tomato; sorghum; red clover,,
10.3390/ijms20174199,AMF; plant drought; Published; AMF-mediated; drought,Arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal fungi,plant growth,,,sustainable agriculture; agriculture friendly,,,
,,,,,,,,,
10.3390/microorganisms11051113,Inoculum A; biochar; mycorrhiza inoculation rangelands; AMF; Biochar; when inoculated; Inoculum; Biochar David; inoculum; Inoculum B; mycorrhiza; without biochar; Inoculum C,University Corvallis OR 97331; arbuscular mycorrhizal fungi (AMF); AMF inoculum; soil from soil; commercial inoculum; Rangeland Sciences University; AMF Inoculum; Sciences State University Corvallis,growth; biomass,,greenhouse,undisturbed site; species restoration; disturbed site; degradation,Pseudoroegneria spicata; Sagebrush Steppe; V. dubia; P. spicata; Oregon State; Ventenata dubia; T. caput-medusae; sagebrush steppe; Grass; Taeniatherum caput-medusae; mycorrhiza Artemisia medusahead; rangelands,,USA
,,,,,,,,,
,,,,,,,,,
10.1371/journal.pone.0145793,"with without AMF; with without Cu addition; Cu treatments addition; Copper Stress; AMF; Conservation Taizhou; with without Cu; Without AMF; Cu; Zexin Jin1,2; Cu treatments",Arbuscular Mycorrhizal Fungi; AMF inoculation; arbuscular mycorrhizal fungi (AMF),inflorescence biomass biomass; 1000-seed weight; vegetative biomass,,,heavy metals; heavy metal,E. splendens; Elsholtzia splendens; Taizhou University,,Taizhou China; China; Taizhou China Institute; Taizhou
10.3390/ijms20020353,"non-saline; Pro TSC activity; Published; salinity; CA; FW; DW; NaCl; ribulose-1,5-bisphosphate; EL reduced; physio-biochemical",,plant growth; root DW; dry weight,high soil,,Chl enhanced degradation leakage malondialdehyde species superoxide; global agriculture,tomato,,
10.3390/microorganisms8111695,biofertilizers autochthonous by-product; non-saline high-saline; combined; The tri-combination CMR; individually; non-saline high-saline NaCl; uptake by-product microbiome; tri-combination CMR; the C biofertilizers selected; in combination; MR inoculation; Cl−; Salinity; R; Published Abstract; biofertilizers by-product microbiome,rhizobium; R rhizobium; arbuscular mycorrhizal fungi,plant growth; growth functioning concentration,,,agricultural,alfalfa,,
10.1038/s41598-018-32529-5,,,,,,,,,
10.1038/s41598-021-03132-y,,,,,,,,,
10.1371/journal.pone.0153378,inoculated measured; AM fungi; inoculation; Haoqiang; soil fixation; tensile strength; AM fungus; Forestry,Arbuscular Mycorrhizal Fungi; University Yangling Shaanxi; College University; College Northwest A&F University Yangling; arbuscular mycorrhizal (AM); irregularis Glomus; arbuscular mycorrhizal fungi; Rhizophagus irregularis Glomus versiforme; Rhizophagus irregularis; irregularis versiforme,pseudoacacia strength R. growth improved The; plant growth; mean weight; plant biomass,,pot,Loess Plateau,pseudoacacia; black locust; Robinia pseudoacacia; pseudoacacia R.; Robinia; Loess Plateau,,PR China; Shaanxi
10.3389/fpls.2019.00843,,,,,,,,,
10.5423/PPJ.OA.10.2012.0156,,,,,,,,,
10.3389/fpls.2022.898378,,,,,,,,,
10.3389/fmicb.2019.02591,,,,,,,,,
10.1038/srep20469,,,,,,,,,
10.1038/s41598-019-41671-7,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,native consortia; commercial strain; a control without AMF; inoculation,arbuscular mycorrhizal fungi (AMF),plant height; dry weight; the growth,,greenhouse,,Agave; Agave inaequidens,,
10.3389/fpls.2016.00329,,,,,,,,,
10.1038/s41467-018-06221-1,,,,,,,,,
10.3390/plants11010089,drought; ample water,Arbuscular Mycorrhiza Fungi (AMF),growth evapotranspiration nutrition morphology,,glasshouse,crop,Okra,tropical subtropical regions,
10.1016/j.jhazmat.2017.03.068,,,,,,,,,
10.1038/srep20469,,,,,,,,,
10.1111/1365-2435.12100,,,,,,,,,
10.3389/fpls.2015.00815,,,,,,,,,
10.3390/plants9080975,nodule; HM; the inoculated SGECdt; remediated; Cd; phytoremediation PGPR; inoculated; particularly inoculated SGE; SGE SGECdt; had Inoculation irrespective; SGE; Cd-supplemented; Cadmium; sterilized uncontaminated; uninoculated; Cd-treated; Published; Cadmium Cd; Inoculation; July Cadmium Cd,Variovorax; Rhizobium bv; bacterium Rhizobium leguminosarum bv; rhizobacterium; arbuscular mycorrhizal fungus Glomus; University Embankment; leguminosarum bv; Saint-Petersburg University University Embankment belimov@rambler.ru Accepted; bacterium bv; Russia; Saint-Petersburg State University Embankment Published,shoot biomass; plant growth; pea biomass more doubled genotypes; growth; juncea biomass B.,Polluted soils,pots,Cd contamination; heavy metals,pea PGPR; the Cd-tolerant pea; Brassica juncea Czern; pea SGE; Indian mustard; sativum; Pisum; viciae; L. Brassica juncea juncea Czern; pea,,
10.1038/s41396-020-0648-9,Bacillus; other rhizosphere bacteria,Rhizobia; bradyrhizobia sinorhizobia; bradyrhizobia; cereus; Bacillus; rhizobia bacteria,the growth,alkaline soil,,,soybean; The soybean rhizosphere,,
10.3389/fpls.2018.00154,,,,,,,,,
10.1038/s41598-021-85497-8,,,,,,,,,
10.1038/nature06448,,,,,,,,,
10.3389/fpls.2016.01088,,,,,,,,,
,Phenanthrene; PAHs; AM fungus fungus; single dual; Inoculation; PAH; stress,the AM fungus Rhizophagus irregularis effects; arbuscular mycorrhizal (AM); plant growth; irregularis R. T.viride; Rhizophagus irregularis; Trichoderma viride; irregularis T.viride,plant growth maize; plant growth,contaminated soils; contaminated soil,greenhouse pot,Corresponding author hydrocarbons; bioremediation,maize,,
10.3389/fmicb.2023.1184070,,,,,,,,,
10.3390/agronomy10010104,a control 1.5; biochar; a biochar high-quality; Accepted; Published; the control; amendment,,dry weight,sandy-loam clay-loam,greenhouse,agronomic; agricultural; The selected crop,vinifera; L. bicolor Moench; Vitis; Sorghum bicolor,,
10.1186/s12870-023-04111-3,Al‑Bandari; inoculation;   Qiu‑Yun Qin1 Ma1 Zhou1; stress well-watered WW; drought; Qiang‑Sheng,   Arbuscular mycorrhizal fungi (AMF); Diversispora spurca;     Kuča2 Abeer Hashem4 Al‑Arjani4; arbuscular  mycorrhizal fungi‑mediated; arbuscular  mycorrhizal fungus,,,,,  walnut; walnut regia; Abeer; Juglans regia; walnut Juglans regia,,
10.3389/fmicb.2022.814323,,,,,,,,,
10.3389/fmicb.2016.01030,,,,,,,,,
,,,,,,,,,
10.3389/fpls.2020.00072,,,,,,,,,
,,,,,,,,,
10.1016/j.crvi.2016.04.009,,,,,,,,,
,,,,,,,,,
10.1038/s41598-019-45702-1,,,,,,,,,
,,,,,,,,,
10.3390/plants10122716,Développement d’Ottawa; Agriculture Canada Canada 0C6; Ottawa,AMF inoculum; Arbuscular mycorrhizal fungi (AMF); AMF-mixed inoculums,,arid soils; saline soils,,Soil degradation,edaphoclimatic; T. articulata; Tamarix articulata; arid semiarid,semiarid areas,Canada yodalpe@gmail.com; Agroalimentaire Canada; Ottawa Agroalimentaire Canada Ave
10.1371/journal.pone.0213672,wheat the mixture; AMF inoculation; mixture; AMF; the presence absence; treatment; inoculation; N fixation; Agricultural Food; sole; presence absence; low; AMF presence,Forest Sciences; Abstract Arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal fungi,growth; N biomass; root biomass; belowground growth,,pots,intercropping; mixture sole crops; agricultural,wheat bean Durum; bean; wheat; University of; Salvatore Lima; faba; wheat Durum; faba bean,,Italy Angelo; Italy
,,,,,,,,,
10.3389/fpls.2018.00093,,,,,,,,,
10.3389/fpls.2019.01068,,,,,,,,,
10.1371/journal.pone.0218969,fertilizers; vitro-produced; fertilizers amendments; Control Glomygel carrier carrier Mycodrip; As; fertilizers Phosphorus,arbuscular mycorrhizal fungal (AMF); AMF inoculants,yield,marginal soils,Field,subsistent agriculture,cassava; Nigeria; P2O5 ha-1; Sudan Savanna,,Northern Guinea Savanna; Samaru; Minjibir
10.3389/fpls.2018.01705,,,,,,,,,
10.1371/journal.pone.0150181,"Callender1,2 Sébastien Roy3; Callender1,2 Department Energy charles.greer@nrc-cnrc.gc.ca Abstract Phytotechnologies; Mine Waste Rock; MPN; A Greenhouse Study Katrina L. Callender1,2 Roy3 Khasa4 Whyte1 Greer2 Department",Pseudomonas Rhizobium; Brevundimonas Caulobacter; Azotobacter Mesorhizobium Rhizobium; Frankia ectomycorrhizal (ECM) ECM; Sphingomonas Sphingobium Pseudomonas; Frankia ectomycorrhizal (ECM); Sphingobium Pseudomonas; Pseudomonas Mesorhizobium Rhizobium; Sphingomonas Sphingobium; Azotobacter Mesorhizobium; McGill University Ste-Anne-de-Bellevue,growth; biomass; plant biomass; the growth,,Greenhouse,mine; mine gold; contaminant degradation sequestration; contaminated; Gold Mine; remediation; nutrient-poor; Mining Environment,A. crispa; A. glutinosa; P. Khasa4; Quebec Ste-Anne-de-Bellevue; A. crispa glutinosa; pioneer species; alder; Frankia-inoculated (,,Quebec Canada Laval; Quebec Canada; Katrina; northern Quebec; Northern Quebec; Canada
10.3389/fpls.2018.00478,,,,,,,,,
10.3390/plants9121801,Published ; Al water-soluble; AlCl3; PGPR; Al; aluminium nodulation; inoculation; rhizosphere microbiome; pHKCl CaCO3; fertilizer; Inoculation; four,Saint-Petersburg University Embankment; Saint-Petersburg State University; University Embankment; rhizobia PGPR; arbuscular mycorrhizal fungus (AMF); Russia,biomass; seed biomass,soil acidity; Al-supplemented soil,,Aluminium,PGPR pea microbiome; Pea plants; pea,,
10.3389/fpls.2017.00517,,,,,,,,,
10.1111/j.1365-2745.2009.01544.x,,,,,,,,,
10.3390/microorganisms7120706,Published; chemical fertilizers,,,,,organic agriculture; the important crops,Tomatoes; tomatoes,,
